,name,payoff1,payoff2,payoff3,faction,took_part
0,אביגדור ליברמן,2.950724232657623e-11,2.950724232657623e-11,2.950724232657623e-11,ישראל ביתינו,0.09848377497520193
1,איתן כבל,4.1764585643733644e-11,4.1764585643733644e-11,4.1764585643733644e-11,המחנה הציוני,0.6817344480657503
2,סופה לנדבר,1.6784562992506056e-10,1.6784562992506056e-10,1.6784562992506056e-10,ישראל ביתינו,0.49837041235652546
3,צחי הנגבי,6.375410066450885e-11,6.375410066450885e-11,6.375410066450885e-11,הליכוד,0.5619951820887062
4,ישראל כץ,0.14973262044233598,0.14973262044233598,0.14973262044233598,הליכוד,0.3929431769873884
5,ציפי לבני,5.118369979996539e-11,5.118369979996539e-11,5.118369979996539e-11,המחנה הציוני,0.46776250531387276
6,איוב קרא,1.8888249349814185e-10,1.8888249349814185e-10,1.8888249349814185e-10,הליכוד,0.5601530395352132
7,יובל שטייניץ,0.02408744061547123,0.02408744061547123,0.02408744061547123,הליכוד,0.5540597987813518
8,סילבן שלום,4.265648014577192e-11,4.265648014577192e-11,4.265648014577192e-11,הליכוד,0.06872608757262293
9,דוד אזולאי,6.573148232343993e-11,6.573148232343993e-11,6.573148232343993e-11,"ש""ס",0.32719285815502336
10,יצחק וקנין,0.46524063933321697,0.46524063933321697,0.46524063933321697,"ש""ס",0.6536771999433187
11,משולם נהרי,2.1349313083496365e-10,2.1349313083496365e-10,2.1349313083496365e-10,"ש""ס",0.45954371545982714
12,אילן גילאון,1.0584042553576134e-10,1.0584042553576134e-10,1.0584042553576134e-10,מרצ,0.6815927447924047
13,זהבה גלאון,1.487167986761975e-10,1.487167986761975e-10,1.487167986761975e-10,מרצ,0.3373954938359076
14,מוסי רז,3.267740128627742e-09,3.267740128627742e-09,3.267740128627742e-09,מרצ,0.37267960889896556
15,משה גפני,0.04812834408220467,0.04812834408220467,0.04812834408220467,יהדות התורה,0.5938784185914695
16,יעקב ליצמן,6.278294742371381e-11,6.278294742371381e-11,6.278294742371381e-11,יהדות התורה,0.4286524018704832
17,יולי יואל אדלשטיין,0.03743315528003781,0.03743315528003781,0.03743315528003781,הליכוד,0.5627036984554343
18,חיים כץ,0.011436389084825672,0.011436389084825672,0.011436389084825672,הליכוד,0.33002692362193564
19,עמיר פרץ,5.809713864853755e-11,5.809713864853755e-11,5.809713864853755e-11,המחנה הציוני,0.40456284540172877
20,אחמד טיבי,0.07486631038343142,0.07486631038343142,0.07486631038343142,הרשימה המשותפת,0.4156157007226867
21,מאיר פרוש,6.058514102697018e-10,6.058514102697018e-10,6.058514102697018e-10,יהדות התורה,0.17925464078220207
22,יצחק כהן,0.3903743326257384,0.3903743326257384,0.3903743326257384,"ש""ס",0.42000850219640073
23,אורי אריאל,0.5478849765359151,0.5478849765359151,0.5478849765359151,הבית היהודי,0.5631288082754712
24,בנימין נתניהו,2.559668768652534e-11,2.559668768652534e-11,2.559668768652534e-11,הליכוד,0.2673940768031742
25,גילה גמליאל,9.774734485058278e-11,9.774734485058278e-11,9.774734485058278e-11,הליכוד,0.3668697746917954
26,משה כחלון,2.917256563136368e-11,2.917256563136368e-11,2.917256563136368e-11,כולנו,0.09054839166784753
27,גלעד ארדן,0.7731617264846401,0.7731617264846401,0.7731617264846401,הליכוד,0.44112228992489727
28,יצחק הרצוג,3.230232662190561e-11,3.230232662190561e-11,3.230232662190561e-11,המחנה הציוני,0.46691228567379905
29,יעקב מרגי,0.8556149714972582,0.8556149714972582,0.8556149714972582,"ש""ס",0.6413490151622503
30,ישראל אייכלר,0.4625435760559714,0.4625435760559714,0.4625435760559714,יהדות התורה,0.601388692078787
31,ג`מאל זחאלקה,1.8022357239577756e-10,1.8022357239577756e-10,1.8022357239577756e-10,הרשימה המשותפת,0.32988522034859
32,ניסן סלומינסקי,2.5874628314160172e-11,2.5874628314160172e-11,2.5874628314160172e-11,הבית היהודי,0.6976052146804591
33,זאב בנימין בגין,5.88533958932559e-11,5.88533958932559e-11,5.88533958932559e-11,הליכוד,0.6023806149922063
34,אריה דרעי,2.94342136091351e-11,2.94342136091351e-11,2.94342136091351e-11,"ש""ס",0.10868641065608615
35,יואל חסון,0.3743315482121216,0.3743315482121216,0.3743315482121216,המחנה הציוני,0.6338387416749327
36,אברהם דיכטר,2.375229634801638e-11,2.375229634801638e-11,2.375229634801638e-11,הליכוד,0.5489584809409097
37,זאב אלקין,2.3656324892743494e-11,2.3656324892743494e-11,2.3656324892743494e-11,הליכוד,0.49057673232251664
38,שלי יחימוביץ`,9.037104538882753e-11,9.037104538882753e-11,9.037104538882753e-11,המחנה הציוני,0.5807000141703273
39,רוברט אילטוב,3.264521521289222e-11,3.264521521289222e-11,3.264521521289222e-11,ישראל ביתינו,0.5577440838883378
40,דב חנין,0.14438502780329163,0.14438502780329163,0.14438502780329163,הרשימה המשותפת,0.6913702706532521
41,יחיאל (חיליק) בר,0.7447582539328074,0.7447582539328074,0.7447582539328074,המחנה הציוני,0.8197534363043786
42,אלעזר שטרן,3.058820435304943e-11,3.058820435304943e-11,3.058820435304943e-11,יש עתיד,0.003117472013603514
43,אורי מקלב,2.135653385282222e-10,2.135653385282222e-10,2.135653385282222e-10,יהדות התורה,0.7242454300694346
44,אופיר אקוניס,2.8981809153987652e-11,2.8981809153987652e-11,2.8981809153987652e-11,הליכוד,0.45670964999291486
45,חמד עמאר,0.4598930487303154,0.4598930487303154,0.4598930487303154,ישראל ביתינו,0.5615700722686694
46,דני דנון,3.03263632426016e-11,3.03263632426016e-11,3.03263632426016e-11,הליכוד,0.027915544849086014
47,מסעוד גנאים,3.396631185432271e-09,3.396631185432271e-09,3.396631185432271e-09,הרשימה המשותפת,0.4934107977894289
48,ציפי חוטובלי,6.155914214674067e-11,6.155914214674067e-11,6.155914214674067e-11,הליכוד,0.42411789712342357
49,יריב לוין,1.1593861362591327e-10,1.1593861362591327e-10,1.1593861362591327e-10,הליכוד,0.5909026498512115
50,אורלי לוי אבקסיס,5.7330220477026156e-11,5.7330220477026156e-11,5.7330220477026156e-11,ישראל ביתינו,0.3828822445798498
51,מנחם אליעזר מוזס,0.08120373632676244,0.08120373632676244,0.08120373632676244,יהדות התורה,0.6378064333286099
52,מירי רגב,2.3763157651691316e-11,2.3763157651691316e-11,2.3763157651691316e-11,הליכוד,0.44112228992489727
53,נחמן שי,0.16577540305260832,0.16577540305260832,0.16577540305260832,המחנה הציוני,0.8343488734589769
54,משה יעלון,3.3863093604905035e-11,3.3863093604905035e-11,3.3863093604905035e-11,הליכוד,0.12753294601105286
55,חנין זועבי,7.444576758874918e-11,7.444576758874918e-11,7.444576758874918e-11,הרשימה המשותפת,0.35482499645741816
56,אכרם חסון,0.4385026744171524,0.4385026744171524,0.4385026744171524,כולנו,0.6019555051721694
57,נפתלי בנט,1.0158170615942336e-10,1.0158170615942336e-10,1.0158170615942336e-10,הבית היהודי,0.25138160691511974
58,איילת שקד,5.996126399678083e-11,5.996126399678083e-11,5.996126399678083e-11,הבית היהודי,0.359642907751169
59,אלי בן-דהן,0.14438502853094887,0.14438502853094887,0.14438502853094887,הבית היהודי,0.6678475272778801
60,מרדכי יוגב,2.388817399472953e-11,2.388817399472953e-11,2.388817399472953e-11,הבית היהודי,0.6460252231826555
61,שולי מועלם-רפאלי,2.421168117187116e-11,2.421168117187116e-11,2.421168117187116e-11,הבית היהודי,0.652118463936517
62,דוד ביטן,0.3743315475203686,0.3743315475203686,0.3743315475203686,הליכוד,0.6883945019129942
63,יוליה מלינובסקי,4.300873701663051e-11,4.300873701663051e-11,4.300873701663051e-11,ישראל ביתינו,0.4688961315006377
64,דוד אמסלם,5.935744907836931e-11,5.935744907836931e-11,5.935744907836931e-11,הליכוד,0.6239195125407397
