,name,payoff,faction,took_part
0,אביגדור ליברמן,7.07980863e-10,ישראל ביתינו,0.09848377497520193
1,איתן כבל,8.8690827e-10,המחנה הציוני,0.6817344480657503
2,סופה לנדבר,1.43971095e-09,ישראל ביתינו,0.49837041235652546
3,צחי הנגבי,6.62182911e-10,הליכוד,0.5619951820887062
4,ישראל כץ,0.149732686,הליכוד,0.3929431769873884
5,ציפי לבני,1.37905965e-09,המחנה הציוני,0.46776250531387276
6,איוב קרא,1.48749141e-09,הליכוד,0.5601530395352132
7,יובל שטייניץ,0.0198034209,הליכוד,0.5540597987813518
8,סילבן שלום,6.41488401e-10,הליכוד,0.06872608757262293
9,דוד אזולאי,6.61312453e-10,"ש""ס",0.32719285815502336
10,יצחק וקנין,0.465240724,"ש""ס",0.6536771999433187
11,משולם נהרי,3.24845197e-09,"ש""ס",0.45954371545982714
12,אילן גילאון,9.89982628e-10,מרצ,0.6815927447924047
13,זהבה גלאון,2.24242114e-09,מרצ,0.3373954938359076
14,מוסי רז,2.24919652e-08,מרצ,0.37267960889896556
15,משה גפני,0.0481281197,יהדות התורה,0.5938784185914695
16,יעקב ליצמן,1.96907476e-09,יהדות התורה,0.4286524018704832
17,יולי יואל אדלשטיין,0.0374330583,הליכוד,0.5627036984554343
18,חיים כץ,0.00516665885,הליכוד,0.33002692362193564
19,עמיר פרץ,6.57300301e-10,המחנה הציוני,0.40456284540172877
20,אחמד טיבי,0.0748664183,הרשימה המשותפת,0.4156157007226867
21,מאיר פרוש,8.87738237e-09,יהדות התורה,0.17925464078220207
22,יצחק כהן,0.390374321,"ש""ס",0.42000850219640073
23,אורי אריאל,0.547396065,הבית היהודי,0.5631288082754712
24,בנימין נתניהו,6.76266968e-10,הליכוד,0.2673940768031742
25,גילה גמליאל,1.1538186e-09,הליכוד,0.3668697746917954
26,משה כחלון,3.84148175e-10,כולנו,0.09054839166784753
27,גלעד ארדן,0.73169047,הליכוד,0.44112228992489727
28,יצחק הרצוג,3.89304679e-09,המחנה הציוני,0.46691228567379905
29,יעקב מרגי,0.855615046,"ש""ס",0.6413490151622503
30,ישראל אייכלר,0.466827737,יהדות התורה,0.601388692078787
31,ג`מאל זחאלקה,1.56939123e-09,הרשימה המשותפת,0.32988522034859
32,ניסן סלומינסקי,6.56443328e-10,הבית היהודי,0.6976052146804591
33,זאב בנימין בגין,7.53454812e-10,הליכוד,0.6023806149922063
34,אריה דרעי,7.05929951e-10,"ש""ס",0.10868641065608615
35,יואל חסון,0.374331651,המחנה הציוני,0.6338387416749327
36,אברהם דיכטר,7.38507564e-10,הליכוד,0.5489584809409097
37,זאב אלקין,3.01014063e-10,הליכוד,0.49057673232251664
38,שלי יחימוביץ`,8.25307615e-10,המחנה הציוני,0.5807000141703273
39,רוברט אילטוב,6.9821713e-10,ישראל ביתינו,0.5577440838883378
40,דב חנין,0.144384965,הרשימה המשותפת,0.6913702706532521
41,יחיאל (חיליק) בר,0.742612633,המחנה הציוני,0.8197534363043786
42,אלעזר שטרן,7.48434936e-10,יש עתיד,0.003117472013603514
43,אורי מקלב,1.32878835e-09,יהדות התורה,0.7242454300694346
44,אופיר אקוניס,7.1493939e-10,הליכוד,0.45670964999291486
45,חמד עמאר,0.459892998,ישראל ביתינו,0.5615700722686694
46,דני דנון,7.05819267e-10,הליכוד,0.027915544849086014
